audio,label
studio_a_07471.wav,sur
studio_a_06263.wav,dis
studio_a_03432.wav,sur
studio_a_00966.wav,sad
studio_a_06801.wav,hap
studio_a_07146.wav,sur
studio_a_05482.wav,sad
studio_a_08933.wav,ang
studio_a_02958.wav,dis
studio_a_08615.wav,sad
studio_a_04392.wav,hap
studio_a_03002.wav,sur
studio_a_07481.wav,neu
studio_a_06820.wav,sad
studio_a_06275.wav,ang
studio_a_05155.wav,sur
studio_a_04657.wav,sad
studio_a_08909.wav,fea
studio_a_00063.wav,dis
studio_a_03104.wav,hap
studio_a_09248.wav,ang
studio_a_02764.wav,dis
studio_a_03908.wav,hap
studio_a_01657.wav,hap
studio_a_04851.wav,fea
studio_a_03657.wav,hap
studio_a_08503.wav,sad
studio_a_06824.wav,sad
studio_a_09141.wav,dis
studio_a_01119.wav,dis
studio_a_01660.wav,hap
studio_a_00810.wav,sur
studio_a_03001.wav,sur
studio_a_05478.wav,sad
studio_a_02083.wav,sur
studio_a_05745.wav,sur
studio_a_01280.wav,dis
studio_a_04351.wav,neu
studio_a_02020.wav,dis
studio_a_02814.wav,sur
studio_a_09442.wav,fea
studio_a_07156.wav,sur
studio_a_09385.wav,hap
studio_a_06915.wav,hap
studio_a_04865.wav,dis
studio_a_02991.wav,sad
studio_a_05728.wav,sad
studio_a_07813.wav,hap
studio_a_01612.wav,dis
studio_a_00827.wav,neu
studio_a_07771.wav,hap
studio_a_00502.wav,ang
studio_a_03670.wav,hap
studio_a_05015.wav,hap
studio_a_03516.wav,sad
studio_a_03906.wav,neu
studio_a_07418.wav,dis
studio_a_06267.wav,ang
studio_a_01535.wav,ang
studio_a_01748.wav,sur
studio_a_01083.wav,sur
studio_a_01036.wav,hap
studio_a_04452.wav,neu
studio_a_05631.wav,neu
studio_a_03673.wav,sad
studio_a_10044.wav,neu
studio_a_04576.wav,fea
studio_a_06570.wav,dis
studio_a_05043.wav,neu
studio_a_00323.wav,hap
studio_a_08434.wav,neu
studio_a_06689.wav,ang
studio_a_03312.wav,ang
studio_a_02520.wav,sad
studio_a_04940.wav,neu
studio_a_06509.wav,sad
studio_a_05855.wav,hap
studio_a_05142.wav,sad
studio_a_05269.wav,sur
studio_a_07908.wav,neu
studio_a_10064.wav,fea
studio_a_03050.wav,dis
studio_a_01427.wav,ang
studio_a_09193.wav,sur
studio_a_09614.wav,sur
studio_a_05408.wav,fea
studio_a_09410.wav,neu
studio_a_06620.wav,hap
studio_a_03459.wav,fea
studio_a_09933.wav,neu
studio_a_03478.wav,dis
studio_a_03913.wav,fea
studio_a_06696.wav,ang
studio_a_02530.wav,sad
studio_a_03550.wav,neu
studio_a_07575.wav,sur
studio_a_05889.wav,sur
studio_a_00131.wav,sur
studio_a_06513.wav,sad
studio_a_09639.wav,fea
studio_a_00478.wav,hap
studio_a_07514.wav,dis
studio_a_01912.wav,neu
studio_a_08389.wav,sad
studio_a_03899.wav,neu
studio_a_08409.wav,hap
studio_a_02909.wav,sur
studio_a_03597.wav,sad
studio_a_06403.wav,sad
studio_a_00665.wav,dis
studio_a_07986.wav,hap
studio_a_09931.wav,neu
studio_a_02503.wav,ang
studio_a_06507.wav,sad
studio_a_03767.wav,sad
studio_a_09590.wav,sad
studio_a_00763.wav,dis
studio_a_02994.wav,sad
studio_a_02212.wav,neu
studio_a_00350.wav,sur
studio_a_07448.wav,sad
studio_a_05440.wav,dis
studio_a_00287.wav,sad
studio_a_06598.wav,sad
studio_a_02015.wav,dis
studio_a_01408.wav,dis
studio_a_06201.wav,sad
studio_a_04663.wav,sad
studio_a_08444.wav,hap
studio_a_07649.wav,sad
studio_a_01618.wav,dis
studio_a_03889.wav,neu
studio_a_09633.wav,fea
studio_a_09221.wav,fea
studio_a_05327.wav,dis
studio_a_06026.wav,neu
studio_a_00669.wav,ang
studio_a_00248.wav,ang
studio_a_03534.wav,sur
studio_a_10217.wav,sad
studio_a_00719.wav,sur
studio_a_09604.wav,sur
studio_a_06925.wav,sad
studio_a_03400.wav,sad
studio_a_00161.wav,neu
studio_a_07600.wav,fea
studio_a_01910.wav,neu
studio_a_01557.wav,sad
studio_a_04625.wav,ang
studio_a_06742.wav,sur
studio_a_06500.wav,hap
studio_a_08215.wav,neu
studio_a_04098.wav,sad
studio_a_04578.wav,fea
studio_a_01138.wav,hap
studio_a_00206.wav,fea
studio_a_10200.wav,ang
studio_a_07725.wav,dis
studio_a_07735.wav,dis
studio_a_09251.wav,ang
studio_a_04358.wav,fea
studio_a_03360.wav,fea
studio_a_08926.wav,hap
studio_a_02563.wav,neu
studio_a_00564.wav,dis
studio_a_09741.wav,fea
studio_a_09403.wav,sur
studio_a_03180.wav,sur
studio_a_04086.wav,ang
studio_a_04683.wav,sur
